Submission ID;Respondent ID;Submitted at;First Name;Last Name;Linkedin;Phone;Email;Dietary requirements;T-shirt size;Emergency contact;Emergency contact Phone;Why do you want to be part of Tectonic 2026?;Would you be interested in taking on a volunteer role with a little more responsibility?;Introduce yourself! 🎥;Upload your CV;Are you volunteering through an organization?;What organisation?;What kind of shifts would you feel comfortable doing?;What kind of shifts would you feel comfortable doing? (Setup & Logistics);What kind of shifts would you feel comfortable doing? (Technical Support);What kind of shifts would you feel comfortable doing? (Guest Flow & Stewarding);What kind of shifts would you feel comfortable doing? (Info & Welcome);What kind of shifts would you feel comfortable doing? (Food & Drinks);What kind of shifts would you feel comfortable doing? (Runner & Flexible Support);What kind of shifts would you feel comfortable doing? (Stage & Session Support);When would you be available to help out at Tectonic?;When would you be available to help out at Tectonic? (October 20 - Morning (Hackathon or Setup) );When would you be available to help out at Tectonic? (October 21 - Morning);When would you be available to help out at Tectonic? (October 21 - Afternoon);When would you be available to help out at Tectonic? (October 21 - Evening);When would you be available to help out at Tectonic? (October 22 - Morning (Breakdown));When would you be available to help out at Tectonic? (October 20 - Afternoon (Hackathon or Setup) );When would you be available to help out at Tectonic? (October 20 - Evening (Hackathon or Setup) );How many shifts would you be willing to take on during Tectonic?;Where did you hear about the open positions?;Anything else you would like to share with us?;Untitled checkboxes field;Untitled checkboxes field (I agree that Tectonic may use the information provided in this form for the organisation and coordination of Tectonic 2026 and its volunteer team. Privacy policy - https://www.tectonicconf.eu/privacy-statement)
sub_0043;resp_0043;2026-08-29T08:00;Hanne;Van Damme;https://www.linkedin.com/in/hanne-van-damme-43;+32476790218;hanne.vandamme43@example.com;Vegetarian;L;Hanne Martens;+32487328534;I want to gain event experience and be part of the Tectonic community.;No;;;Yes;Student Ghentrepreneur;Stage & Session Support, Food & Drinks, Guest Flow & Stewarding;;;Yes;;Yes;;Yes;October 21 - Afternoon, October 20 - Afternoon (Hackathon or Setup), October 20 - Evening (Hackathon or Setup), October 21 - Evening, October 20 - Morning (Hackathon or Setup), October 21 - Morning;Yes;Yes;Yes;Yes;;Yes;Yes;2;Previous volunteer;;;Yes
sub_0044;resp_0044;2026-08-29T13:00;Arthur;Vermeire;https://www.linkedin.com/in/arthur-vermeire-44;+32479310235;arthur.vermeire44@example.com;;M;Amelie Vermeire;+32486569946;I would like to help make the event run smoothly and meet new people.;Yes;;;Nope, I'm Joining Independently;;Stage & Session Support, Info & Welcome, Setup & Logistics;Yes;;;Yes;;;Yes;October 21 - Evening, October 20 - Afternoon (Hackathon or Setup), October 20 - Evening (Hackathon or Setup), October 22 - Morning (Breakdown);;;;Yes;Yes;Yes;Yes;2;University;;;Yes
sub_0045;resp_0045;2026-08-29T18:00;Bram;Verhoeven;https://www.linkedin.com/in/bram-verhoeven-45;+32476680114;bram.verhoeven45@example.com;Gluten-free;L;Elise Maes;+32486512415;I want to gain event experience and be part of the Tectonic community.;No;;;Yes;VTK Gent;Technical Support;;Yes;;;;;;October 20 - Afternoon (Hackathon or Setup), October 21 - Morning, October 20 - Morning (Hackathon or Setup), October 21 - Evening;Yes;Yes;;Yes;;Yes;;No preference;University;;;Yes
sub_0046;resp_0046;2026-08-29T23:00;Liam;Baert;https://www.linkedin.com/in/liam-baert-46;+32476024207;liam.baert46@example.com;;S;Camille Janssens;+32485921894;I volunteered at events before and would like to support the team.;No;;;Nope, I'm Joining Independently;;Runner & Flexible Support, Stage & Session Support;;;;;;Yes;Yes;October 21 - Morning, October 20 - Afternoon (Hackathon or Setup), October 20 - Morning (Hackathon or Setup), October 21 - Evening, October 22 - Morning (Breakdown), October 21 - Afternoon, October 20 - Evening (Hackathon or Setup);Yes;Yes;Yes;Yes;Yes;Yes;Yes;4+;LinkedIn;;;Yes
sub_0047;resp_0047;2026-08-30T04:00;Arthur;De Clercq;https://www.linkedin.com/in/arthur-de-clercq-47;+32479349470;arthur.declercq47@example.com;Gluten-free;M;Arthur Verhoeven;+32485261032;I want to gain event experience and be part of the Tectonic community.;No;;;Nope, I'm Joining Independently;;Runner & Flexible Support, Technical Support, Stage & Session Support;;Yes;;;;Yes;Yes;October 22 - Morning (Breakdown), October 21 - Evening, October 20 - Evening (Hackathon or Setup);;;;Yes;Yes;;Yes;1;Tectonic website;;;Yes
sub_0048;resp_0048;2026-08-30T09:00;Lena;De Smet;https://www.linkedin.com/in/lena-de-smet-48;+32479106886;lena.desmet48@example.com;;M;Elise Vermeire;+32487022335;I volunteered at events before and would like to support the team.;No;;;Yes;AIESEC Ghent;Technical Support, Setup & Logistics, Info & Welcome, Guest Flow & Stewarding;Yes;Yes;Yes;Yes;;;;October 21 - Afternoon, October 20 - Afternoon (Hackathon or Setup), October 21 - Evening, October 20 - Evening (Hackathon or Setup), October 21 - Morning, October 22 - Morning (Breakdown), October 20 - Morning (Hackathon or Setup);Yes;Yes;Yes;Yes;Yes;Yes;Yes;1;Previous volunteer;;;Yes
sub_0049;resp_0049;2026-08-30T14:00;Elise;Wouters;https://www.linkedin.com/in/elise-wouters-49;+32476910964;elise.wouters49@example.com;None;L;Julie Baert;+32485204819;I am interested in technology and would enjoy contributing to Tectonic.;Yes;;;Nope, I'm Joining Independently;;Stage & Session Support;;;;;;;Yes;October 20 - Afternoon (Hackathon or Setup), October 20 - Morning (Hackathon or Setup), October 22 - Morning (Breakdown), October 21 - Evening, October 21 - Morning;Yes;Yes;;Yes;Yes;Yes;;1;Student association;;;Yes
sub_0050;resp_0050;2026-08-30T19:00;Seppe;Verhoeven;https://www.linkedin.com/in/seppe-verhoeven-50;+32473217273;seppe.verhoeven50@example.com;Gluten-free;M;Amelie De Clercq;+32485572250;I am interested in technology and would enjoy contributing to Tectonic.;No;;;Nope, I'm Joining Independently;;Guest Flow & Stewarding;;;Yes;;;;;October 20 - Morning (Hackathon or Setup), October 21 - Afternoon, October 20 - Afternoon (Hackathon or Setup), October 21 - Evening, October 20 - Evening (Hackathon or Setup);Yes;;Yes;Yes;;Yes;Yes;No preference;Student association;;;Yes
sub_0051;resp_0051;2026-08-31T00:00;Maxime;Vermeulen;https://www.linkedin.com/in/maxime-vermeulen-51;+32475436878;maxime.vermeulen51@example.com;Gluten-free;S;Charlotte De Vos;+32485398338;I want to gain event experience and be part of the Tectonic community.;No;;;Nope, I'm Joining Independently;;Info & Welcome, Setup & Logistics, Technical Support, Food & Drinks, Guest Flow & Stewarding;Yes;Yes;Yes;Yes;Yes;;;October 21 - Evening, October 22 - Morning (Breakdown), October 21 - Afternoon, October 20 - Morning (Hackathon or Setup), October 21 - Morning;Yes;Yes;Yes;Yes;Yes;;;2;Previous volunteer;;;Yes
sub_0052;resp_0052;2026-08-31T05:00;Arthur;Vandamme;https://www.linkedin.com/in/arthur-vandamme-52;+32477850067;arthur.vandamme52@example.com;;M;Liam Janssens;+32486106390;I want to gain event experience and be part of the Tectonic community.;Yes;;;Yes;VTK Gent;Food & Drinks;;;;;Yes;;;October 22 - Morning (Breakdown), October 21 - Morning, October 20 - Morning (Hackathon or Setup), October 21 - Evening;Yes;Yes;;Yes;Yes;;;2;LinkedIn;;;Yes
sub_0053;resp_0053;2026-08-31T10:00;Lena;Martens;https://www.linkedin.com/in/lena-martens-53;+32477960607;lena.martens53@example.com;;XL;Louis Baert;+32487847048;I volunteered at events before and would like to support the team.;Yes;;;Nope, I'm Joining Independently;;Info & Welcome, Guest Flow & Stewarding;;;Yes;Yes;;;;October 20 - Afternoon (Hackathon or Setup), October 20 - Evening (Hackathon or Setup), October 22 - Morning (Breakdown), October 21 - Evening, October 21 - Afternoon;;;Yes;Yes;Yes;Yes;Yes;3;LinkedIn;;;Yes
sub_0054;resp_0054;2026-08-31T15:00;Charlotte;Verhoeven;https://www.linkedin.com/in/charlotte-verhoeven-54;+32471358318;charlotte.verhoeven54@example.com;;XL;Camille Goossens;+32483112652;I am interested in technology and would enjoy contributing to Tectonic.;Yes;;;Nope, I'm Joining Independently;;Stage & Session Support, Guest Flow & Stewarding, Setup & Logistics, Runner & Flexible Support, Info & Welcome, Technical Support, Food & Drinks;Yes;Yes;Yes;Yes;Yes;Yes;Yes;October 21 - Morning, October 20 - Morning (Hackathon or Setup), October 21 - Evening, October 20 - Afternoon (Hackathon or Setup);Yes;Yes;;Yes;;Yes;;2;University;;;Yes
sub_0055;resp_0055;2026-08-31T20:00;Julie;Goossens;https://www.linkedin.com/in/julie-goossens-55;+32473927575;julie.goossens55@example.com;;L;Wout Peeters;+32483211291;I would like to help make the event run smoothly and meet new people.;No;;;Yes;VTK Gent;Technical Support, Food & Drinks, Setup & Logistics;Yes;Yes;;;Yes;;;October 21 - Morning, October 20 - Evening (Hackathon or Setup), October 22 - Morning (Breakdown);;Yes;;;Yes;;Yes;2;University;;;Yes
sub_0056;resp_0056;2026-09-01T01:00;Camille;Peeters;https://www.linkedin.com/in/camille-peeters-56;+32479610704;camille.peeters56@example.com;Gluten-free;S;Charlotte De Clercq;+32484716988;I would like to help make the event run smoothly and meet new people.;No;;;Yes;Ekonomika;Setup & Logistics, Technical Support;Yes;Yes;;;;;;October 22 - Morning (Breakdown), October 20 - Morning (Hackathon or Setup), October 20 - Afternoon (Hackathon or Setup), October 21 - Evening, October 21 - Morning;Yes;Yes;;Yes;Yes;Yes;;No preference;Previous volunteer;;;Yes
sub_0057;resp_0057;2026-09-01T06:00;Emma;Janssens;https://www.linkedin.com/in/emma-janssens-57;+32477390515;emma.janssens57@example.com;Gluten-free;L;Victor Verhoeven;+32489481739;I want to gain event experience and be part of the Tectonic community.;Yes;;;Yes;Ekonomika;Stage & Session Support, Info & Welcome, Runner & Flexible Support, Setup & Logistics, Technical Support, Guest Flow & Stewarding, Food & Drinks;Yes;Yes;Yes;Yes;Yes;Yes;Yes;October 21 - Afternoon, October 22 - Morning (Breakdown), October 21 - Morning, October 20 - Morning (Hackathon or Setup), October 21 - Evening, October 20 - Afternoon (Hackathon or Setup);Yes;Yes;Yes;Yes;Yes;Yes;;2;Previous volunteer;;;Yes
sub_0058;resp_0058;2026-09-01T11:00;Nina;Martens;https://www.linkedin.com/in/nina-martens-58;+32478159911;nina.martens58@example.com;Vegetarian;L;Lotte De Vos;+32483560856;I want to gain event experience and be part of the Tectonic community.;Yes;;;Yes;Ekonomika;Technical Support, Info & Welcome, Runner & Flexible Support, Stage & Session Support, Food & Drinks;;Yes;;Yes;Yes;Yes;Yes;October 21 - Evening, October 20 - Evening (Hackathon or Setup), October 20 - Afternoon (Hackathon or Setup), October 20 - Morning (Hackathon or Setup);Yes;;;Yes;;Yes;Yes;2;Friend;;;Yes
sub_0059;resp_0059;2026-09-01T16:00;Louise;Van Damme;https://www.linkedin.com/in/louise-van-damme-59;+32476932391;louise.vandamme59@example.com;Vegan;XL;Bram Janssens;+32485825620;I volunteered at events before and would like to support the team.;No;;;Yes;AIESEC Ghent;Runner & Flexible Support, Guest Flow & Stewarding;;;Yes;;;Yes;;October 22 - Morning (Breakdown), October 20 - Morning (Hackathon or Setup), October 20 - Evening (Hackathon or Setup), October 21 - Afternoon, October 21 - Evening, October 20 - Afternoon (Hackathon or Setup);Yes;;Yes;Yes;Yes;Yes;Yes;2;University;;;Yes
sub_0060;resp_0060;2026-09-01T21:00;Amelie;Claes;https://www.linkedin.com/in/amelie-claes-60;+32471440466;amelie.claes60@example.com;Gluten-free;L;Manon Wouters;+32481485753;I am interested in technology and would enjoy contributing to Tectonic.;No;;;Yes;AIESEC Ghent;Info & Welcome, Technical Support;;Yes;;Yes;;;;October 21 - Afternoon, October 22 - Morning (Breakdown), October 20 - Evening (Hackathon or Setup), October 20 - Morning (Hackathon or Setup), October 21 - Morning, October 21 - Evening;Yes;Yes;Yes;Yes;Yes;;Yes;3;Student association;;;Yes
sub_0061;resp_0061;2026-09-02T02:00;Milan;Peeters;https://www.linkedin.com/in/milan-peeters-61;+32472539438;milan.peeters61@example.com;Gluten-free;M;Elise Van Damme;+32488610913;I volunteered at events before and would like to support the team.;No;;;Nope, I'm Joining Independently;;Technical Support, Food & Drinks, Info & Welcome;;Yes;;Yes;Yes;;;October 20 - Afternoon (Hackathon or Setup), October 20 - Evening (Hackathon or Setup);;;;;;Yes;Yes;3;Student association;;;Yes
sub_0062;resp_0062;2026-09-02T07:00;Maxime;Vermeulen;https://www.linkedin.com/in/maxime-vermeulen-62;+32478434202;maxime.vermeulen62@example.com;Vegan;M;Thomas Verhoeven;+32487948850;I volunteered at events before and would like to support the team.;No;;;Yes;VTK Gent;Food & Drinks, Stage & Session Support, Setup & Logistics, Runner & Flexible Support, Info & Welcome;Yes;;;Yes;Yes;Yes;Yes;October 22 - Morning (Breakdown), October 20 - Morning (Hackathon or Setup), October 20 - Afternoon (Hackathon or Setup);Yes;;;;Yes;Yes;;2;Student association;;;Yes
sub_0063;resp_0063;2026-09-02T12:00;Jules;Jacobs;https://www.linkedin.com/in/jules-jacobs-63;+32471128967;jules.jacobs63@example.com;None;M;Julie Mertens;+32485286905;I volunteered at events before and would like to support the team.;No;;;Nope, I'm Joining Independently;;Runner & Flexible Support, Food & Drinks, Info & Welcome;;;;Yes;Yes;Yes;;October 21 - Afternoon, October 20 - Morning (Hackathon or Setup), October 21 - Morning, October 21 - Evening;Yes;Yes;Yes;Yes;;;;2;Friend;;;Yes
sub_0064;resp_0064;2026-09-02T17:00;Louis;Van Damme;https://www.linkedin.com/in/louis-van-damme-64;+32478318550;louis.vandamme64@example.com;;M;Bram Maes;+32486252285;I want to gain event experience and be part of the Tectonic community.;Yes;;;Nope, I'm Joining Independently;;Info & Welcome, Food & Drinks;;;;Yes;Yes;;;October 22 - Morning (Breakdown), October 20 - Evening (Hackathon or Setup), October 21 - Afternoon, October 20 - Morning (Hackathon or Setup), October 21 - Morning;Yes;Yes;Yes;;Yes;;Yes;4+;Student association;;;Yes
sub_0065;resp_0065;2026-09-02T22:00;Noah;Aerts;https://www.linkedin.com/in/noah-aerts-65;+32478326807;noah.aerts65@example.com;;M;Jules Vermeire;+32487718433;I would like to help make the event run smoothly and meet new people.;Yes;;;Nope, I'm Joining Independently;;Guest Flow & Stewarding;;;Yes;;;;;October 22 - Morning (Breakdown), October 21 - Evening, October 21 - Afternoon;;;Yes;Yes;Yes;;;3;Previous volunteer;;;Yes
sub_0066;resp_0066;2026-09-03T03:00;Camille;Goossens;https://www.linkedin.com/in/camille-goossens-66;+32474963933;camille.goossens66@example.com;;M;Lotte Claes;+32483910830;I am interested in technology and would enjoy contributing to Tectonic.;Yes;;;Nope, I'm Joining Independently;;Technical Support, Setup & Logistics, Food & Drinks;Yes;Yes;;;Yes;;;October 22 - Morning (Breakdown), October 20 - Evening (Hackathon or Setup), October 21 - Morning, October 21 - Afternoon, October 20 - Afternoon (Hackathon or Setup);;Yes;Yes;;Yes;Yes;Yes;2;Previous volunteer;;;Yes
sub_0067;resp_0067;2026-09-03T08:00;Louis;Verhoeven;https://www.linkedin.com/in/louis-verhoeven-67;+32475608259;louis.verhoeven67@example.com;Gluten-free;S;Milan De Clercq;+32482244712;I volunteered at events before and would like to support the team.;Yes;;;Yes;VTK Gent;Stage & Session Support, Food & Drinks, Info & Welcome, Guest Flow & Stewarding, Runner & Flexible Support;;;Yes;Yes;Yes;Yes;Yes;October 21 - Evening, October 20 - Morning (Hackathon or Setup), October 20 - Evening (Hackathon or Setup), October 22 - Morning (Breakdown);Yes;;;Yes;Yes;;Yes;No preference;Friend;;;Yes
sub_0068;resp_0068;2026-09-03T13:00;Liam;De Vos;https://www.linkedin.com/in/liam-de-vos-68;+32476394323;liam.devos68@example.com;Gluten-free;M;Amelie Mertens;+32482038068;I want to gain event experience and be part of the Tectonic community.;Yes;;;Nope, I'm Joining Independently;;Setup & Logistics, Runner & Flexible Support, Stage & Session Support, Info & Welcome, Technical Support;Yes;Yes;;Yes;;Yes;Yes;October 20 - Evening (Hackathon or Setup), October 20 - Afternoon (Hackathon or Setup), October 20 - Morning (Hackathon or Setup), October 21 - Evening, October 21 - Afternoon;Yes;;Yes;Yes;;Yes;Yes;3;Previous volunteer;;;Yes
sub_0069;resp_0069;2026-09-03T18:00;Louise;De Clercq;https://www.linkedin.com/in/louise-de-clercq-69;+32477499771;louise.declercq69@example.com;Vegan;XL;Camille Baert;+32481878547;I volunteered at events before and would like to support the team.;Yes;;;Yes;VTK Gent;Setup & Logistics, Technical Support, Info & Welcome, Food & Drinks;Yes;Yes;;Yes;Yes;;;October 22 - Morning (Breakdown), October 21 - Morning, October 21 - Afternoon, October 20 - Evening (Hackathon or Setup);;Yes;Yes;;Yes;;Yes;3;Friend;;;Yes
sub_0070;resp_0070;2026-09-03T23:00;Mathias;Aerts;https://www.linkedin.com/in/mathias-aerts-70;+32473163449;mathias.aerts70@example.com;Gluten-free;L;Louise De Smet;+32487319630;I volunteered at events before and would like to support the team.;No;;;Yes;AIESEC Ghent;Runner & Flexible Support, Stage & Session Support, Food & Drinks;;;;;Yes;Yes;Yes;October 21 - Afternoon, October 20 - Morning (Hackathon or Setup), October 22 - Morning (Breakdown), October 21 - Morning, October 21 - Evening, October 20 - Evening (Hackathon or Setup);Yes;Yes;Yes;Yes;Yes;;Yes;2;Previous volunteer;;;Yes
sub_0071;resp_0071;2026-09-04T04:00;Felix;Van Damme;https://www.linkedin.com/in/felix-van-damme-71;+32472696860;felix.vandamme71@example.com;Gluten-free;XL;Mathias De Clercq;+32481633297;I volunteered at events before and would like to support the team.;No;;;Yes;VTK Gent;Setup & Logistics, Guest Flow & Stewarding, Runner & Flexible Support, Technical Support;Yes;Yes;Yes;;;Yes;;October 21 - Afternoon, October 21 - Evening, October 21 - Morning, October 22 - Morning (Breakdown), October 20 - Morning (Hackathon or Setup), October 20 - Evening (Hackathon or Setup), October 20 - Afternoon (Hackathon or Setup);Yes;Yes;Yes;Yes;Yes;Yes;Yes;4+;LinkedIn;;;Yes
sub_0072;resp_0072;2026-09-04T09:00;Lucas;Willems;https://www.linkedin.com/in/lucas-willems-72;+32478531761;lucas.willems72@example.com;None;L;Arthur De Smet;+32488868776;I am interested in technology and would enjoy contributing to Tectonic.;No;;;Yes;VTK Gent;Stage & Session Support, Food & Drinks, Technical Support, Info & Welcome, Setup & Logistics;Yes;Yes;;Yes;Yes;;Yes;October 20 - Afternoon (Hackathon or Setup), October 20 - Evening (Hackathon or Setup), October 21 - Morning, October 21 - Evening;;Yes;;Yes;;Yes;Yes;No preference;Tectonic website;;;Yes
sub_0073;resp_0073;2026-09-04T14:00;Hanne;De Smet;https://www.linkedin.com/in/hanne-de-smet-73;+32475782563;hanne.desmet73@example.com;;XL;Lucas Wouters;+32488538325;I am interested in technology and would enjoy contributing to Tectonic.;Yes;;;Nope, I'm Joining Independently;;Food & Drinks, Stage & Session Support, Info & Welcome, Technical Support, Setup & Logistics;Yes;Yes;;Yes;Yes;;Yes;October 21 - Morning, October 21 - Afternoon, October 20 - Morning (Hackathon or Setup), October 21 - Evening, October 20 - Evening (Hackathon or Setup), October 22 - Morning (Breakdown);Yes;Yes;Yes;Yes;Yes;;Yes;2;LinkedIn;;;Yes
sub_0074;resp_0074;2026-09-04T19:00;Manon;Verhoeven;https://www.linkedin.com/in/manon-verhoeven-74;+32476346644;manon.verhoeven74@example.com;;XL;Sophie Vermeulen;+32483450300;I am interested in technology and would enjoy contributing to Tectonic.;Yes;;;Nope, I'm Joining Independently;;Setup & Logistics, Info & Welcome, Stage & Session Support, Runner & Flexible Support, Guest Flow & Stewarding, Technical Support;Yes;Yes;Yes;Yes;;Yes;Yes;October 20 - Morning (Hackathon or Setup), October 21 - Afternoon, October 21 - Morning;Yes;Yes;Yes;;;;;3;Tectonic website;;;Yes
sub_0075;resp_0075;2026-09-05T00:00;Sophie;Mertens;https://www.linkedin.com/in/sophie-mertens-75;+32479854536;sophie.mertens75@example.com;Vegan;S;Hanne De Smet;+32484986941;I volunteered at events before and would like to support the team.;Yes;;;Nope, I'm Joining Independently;;Info & Welcome, Stage & Session Support, Food & Drinks, Setup & Logistics, Runner & Flexible Support;Yes;;;Yes;Yes;Yes;Yes;October 21 - Morning;;Yes;;;;;;1;LinkedIn;;;Yes
sub_0076;resp_0076;2026-09-05T05:00;Jules;Baert;https://www.linkedin.com/in/jules-baert-76;+32476919270;jules.baert76@example.com;None;L;Jules Willems;+32482436363;I volunteered at events before and would like to support the team.;Yes;;;Nope, I'm Joining Independently;;Setup & Logistics, Info & Welcome, Food & Drinks, Stage & Session Support;Yes;;;Yes;Yes;;Yes;October 22 - Morning (Breakdown), October 21 - Morning, October 20 - Afternoon (Hackathon or Setup), October 21 - Afternoon, October 20 - Evening (Hackathon or Setup);;Yes;Yes;;Yes;Yes;Yes;1;Tectonic website;;;Yes
sub_0077;resp_0077;2026-09-05T10:00;Wout;Vandamme;https://www.linkedin.com/in/wout-vandamme-77;+32475045421;wout.vandamme77@example.com;;XL;Laura Vermeulen;+32483238241;I would like to help make the event run smoothly and meet new people.;No;;;Yes;Ekonomika;Info & Welcome, Guest Flow & Stewarding;;;Yes;Yes;;;;October 20 - Morning (Hackathon or Setup), October 21 - Afternoon, October 20 - Evening (Hackathon or Setup);Yes;;Yes;;;;Yes;3;Previous volunteer;;;Yes
sub_0078;resp_0078;2026-09-05T15:00;Lucas;Verhoeven;https://www.linkedin.com/in/lucas-verhoeven-78;+32479646701;lucas.verhoeven78@example.com;Vegan;XL;Mathias Vandamme;+32485249899;I would like to help make the event run smoothly and meet new people.;No;;;Yes;VTK Gent;Info & Welcome, Runner & Flexible Support, Technical Support, Food & Drinks, Setup & Logistics, Stage & Session Support, Guest Flow & Stewarding;Yes;Yes;Yes;Yes;Yes;Yes;Yes;October 20 - Morning (Hackathon or Setup), October 21 - Morning, October 20 - Evening (Hackathon or Setup), October 21 - Afternoon;Yes;Yes;Yes;;;;Yes;3;Student association;;;Yes
sub_0079;resp_0079;2026-09-05T20:00;Wout;Janssens;https://www.linkedin.com/in/wout-janssens-79;+32477163058;wout.janssens79@example.com;Gluten-free;M;Seppe Maes;+32488121922;I would like to help make the event run smoothly and meet new people.;Yes;;;Yes;Student Ghentrepreneur;Guest Flow & Stewarding, Stage & Session Support, Setup & Logistics, Runner & Flexible Support, Technical Support, Info & Welcome;Yes;Yes;Yes;Yes;;Yes;Yes;October 21 - Evening, October 21 - Afternoon, October 21 - Morning, October 20 - Evening (Hackathon or Setup), October 20 - Afternoon (Hackathon or Setup);;Yes;Yes;Yes;;Yes;Yes;2;University;;;Yes
sub_0080;resp_0080;2026-09-06T01:00;Victor;Vermeulen;https://www.linkedin.com/in/victor-vermeulen-80;+32476897979;victor.vermeulen80@example.com;Vegan;S;Maxime De Vos;+32488297090;I volunteered at events before and would like to support the team.;Yes;;;Yes;Student Ghentrepreneur;Guest Flow & Stewarding, Runner & Flexible Support;;;Yes;;;Yes;;October 21 - Evening, October 22 - Morning (Breakdown), October 20 - Evening (Hackathon or Setup), October 21 - Morning;;Yes;;Yes;Yes;;Yes;2;Previous volunteer;;;Yes
sub_0081;resp_0081;2026-09-06T06:00;Nina;Aerts;https://www.linkedin.com/in/nina-aerts-81;+32477075878;nina.aerts81@example.com;Vegan;L;Liam Baert;+32483574265;I want to gain event experience and be part of the Tectonic community.;No;;;Yes;Ekonomika;Stage & Session Support, Runner & Flexible Support, Technical Support;;Yes;;;;Yes;Yes;October 21 - Morning, October 22 - Morning (Breakdown), October 21 - Evening, October 20 - Morning (Hackathon or Setup), October 20 - Afternoon (Hackathon or Setup), October 21 - Afternoon, October 20 - Evening (Hackathon or Setup);Yes;Yes;Yes;Yes;Yes;Yes;Yes;3;Tectonic website;;;Yes
sub_0082;resp_0082;2026-09-06T11:00;Hanne;Maes;https://www.linkedin.com/in/hanne-maes-82;+32472975701;hanne.maes82@example.com;Vegetarian;XL;Lotte Verhoeven;+32484599894;I volunteered at events before and would like to support the team.;Yes;;;Yes;AIESEC Ghent;Food & Drinks, Guest Flow & Stewarding, Info & Welcome, Runner & Flexible Support;;;Yes;Yes;Yes;Yes;;October 21 - Morning, October 20 - Morning (Hackathon or Setup), October 20 - Afternoon (Hackathon or Setup), October 20 - Evening (Hackathon or Setup), October 21 - Evening;Yes;Yes;;Yes;;Yes;Yes;2;Friend;;;Yes
sub_0083;resp_0083;2026-09-06T16:00;Marie;Maes;https://www.linkedin.com/in/marie-maes-83;+32473920762;marie.maes83@example.com;Vegetarian;L;Arthur Jacobs;+32484371891;I am interested in technology and would enjoy contributing to Tectonic.;No;;;Nope, I'm Joining Independently;;Runner & Flexible Support, Info & Welcome, Setup & Logistics, Guest Flow & Stewarding;Yes;;Yes;Yes;;Yes;;October 20 - Afternoon (Hackathon or Setup), October 20 - Morning (Hackathon or Setup), October 22 - Morning (Breakdown), October 21 - Afternoon, October 21 - Morning;Yes;Yes;Yes;;Yes;Yes;;No preference;Friend;;;Yes
sub_0084;resp_0084;2026-09-06T21:00;Milan;Martens;https://www.linkedin.com/in/milan-martens-84;+32479819709;milan.martens84@example.com;Vegan;XL;Jules Vermeire;+32482237331;I am interested in technology and would enjoy contributing to Tectonic.;No;;;Yes;Student Ghentrepreneur;Info & Welcome, Food & Drinks, Technical Support, Setup & Logistics;Yes;Yes;;Yes;Yes;;;October 21 - Evening, October 20 - Afternoon (Hackathon or Setup);;;;Yes;;Yes;;2;Tectonic website;;;Yes
sub_0085;resp_0085;2026-09-07T02:00;Charlotte;De Clercq;https://www.linkedin.com/in/charlotte-de-clercq-85;+32473083077;charlotte.declercq85@example.com;Gluten-free;M;Victor Willems;+32483717354;I volunteered at events before and would like to support the team.;No;;;Nope, I'm Joining Independently;;Stage & Session Support, Food & Drinks, Runner & Flexible Support;;;;;Yes;Yes;Yes;October 21 - Morning, October 21 - Evening, October 22 - Morning (Breakdown);;Yes;;Yes;Yes;;;3;University;;;Yes
sub_0086;resp_0086;2026-09-07T07:00;Lena;De Smet;https://www.linkedin.com/in/lena-de-smet-86;+32473872269;lena.desmet86@example.com;Gluten-free;L;Lena Baert;+32486664316;I would like to help make the event run smoothly and meet new people.;Yes;;;Nope, I'm Joining Independently;;Guest Flow & Stewarding, Technical Support, Food & Drinks, Stage & Session Support, Setup & Logistics;Yes;Yes;Yes;;Yes;;Yes;October 22 - Morning (Breakdown), October 20 - Evening (Hackathon or Setup), October 20 - Morning (Hackathon or Setup), October 21 - Morning, October 21 - Afternoon;Yes;Yes;Yes;;Yes;;Yes;2;Friend;;;Yes
sub_0087;resp_0087;2026-09-07T12:00;Nina;Vermeire;https://www.linkedin.com/in/nina-vermeire-87;+32479102469;nina.vermeire87@example.com;None;XL;Seppe Aerts;+32485990112;I want to gain event experience and be part of the Tectonic community.;Yes;;;Yes;VTK Gent;Technical Support, Food & Drinks, Info & Welcome;;Yes;;Yes;Yes;;;October 20 - Morning (Hackathon or Setup), October 21 - Evening, October 22 - Morning (Breakdown), October 21 - Afternoon, October 20 - Afternoon (Hackathon or Setup);Yes;;Yes;Yes;Yes;Yes;;1;LinkedIn;;;Yes
sub_0088;resp_0088;2026-09-07T17:00;Charlotte;Van Damme;https://www.linkedin.com/in/charlotte-van-damme-88;+32477216632;charlotte.vandamme88@example.com;Gluten-free;L;Noah Vermeulen;+32485055688;I want to gain event experience and be part of the Tectonic community.;Yes;;;Nope, I'm Joining Independently;;Technical Support, Guest Flow & Stewarding, Food & Drinks, Stage & Session Support;;Yes;Yes;;Yes;;Yes;October 20 - Afternoon (Hackathon or Setup), October 21 - Afternoon, October 20 - Evening (Hackathon or Setup), October 21 - Evening;;;Yes;Yes;;Yes;Yes;3;Tectonic website;;;Yes
